Announced/Allocated,Obligated,State,Date
$66695254.85,$66695254.85,MI,31-Aug-24
$266809.15,$266809.15,MT,31-Aug-24
$9965201.52,$9965201.52,TN,31-Aug-24
$27442453.76,$27442453.76,CA,31-Aug-24
$1096134938.03,$1096134938.03,LA,31-Aug-24
$6229772.70,$6229772.70,MO,31-Aug-24
$293439.51,$293439.51,ND,31-Aug-24
$117651422.32,$117651422.32,NJ,31-Aug-24
$108749252.87,$108749252.87,NY,31-Aug-24
$1339180.33,$1339180.33,NE,31-Aug-24
$10130939.92,$10130939.92,NC,31-Aug-24
$97750849.91,$97750849.91,PA,31-Aug-24
$8168417.68,$8168417.68,CA,31-Aug-24
$853800.14,$853800.14,AZ,31-Aug-24
$1834703.07,$1834703.07,VT,31-Aug-24
$180670.91,$180670.91,NH,31-Aug-24
$255700.91,$255700.91,MT,31-Aug-24
$8300141.97,$8300141.97,NH,31-Aug-24
$7473347.31,$7473347.31,NY,31-Aug-24
$8421677.29,$8421677.29,MS,31-Aug-24
$1564610.01,$1564610.01,DE,31-Aug-24
$1367878.96,$1367878.96,VA,31-Aug-24
$8435665.01,$8435665.01,CT,31-Aug-24
$100847794.58,$100847794.58,KY,31-Aug-24
$708101.60,$708101.60,WA,31-Aug-24
$599172.23,$599172.23,AL,31-Aug-24
$3165524.20,$3165524.20,AR,31-Aug-24
$15426034.68,$15426034.68,CO,31-Aug-24
$29396018.70,$29396018.70,WA,31-Aug-24
$703149.46,$703149.46,MO,31-Aug-24
$3318292.72,$3318292.72,TN,31-Aug-24
$613392.20,$613392.20,AK,31-Aug-24
$614556.01,$614556.01,HI,31-Aug-24
$8413983.37,$8413983.37,KS,31-Aug-24
$1171794.02,$1171794.02,NE,31-Aug-24
$4004272.62,$4004272.62,IA,31-Aug-24
$4930136.11,$4930136.11,KY,31-Aug-24
$13844660.95,$13844660.95,VA,31-Aug-24
$1853707.33,$1853707.33,TN,31-Aug-24
$1456778.70,$1456778.70,AK,31-Aug-24
$2090113.27,$2090113.27,ME,31-Aug-24
$503098.98,$503098.98,AK,31-Aug-24
$6256576.73,$6256576.73,PR,31-Aug-24
$7067734.29,$7067734.29,WA,31-Aug-24
$5586387.31,$5586387.31,MA,31-Aug-24
$123324715.08,$123324715.08,NM,31-Aug-24
$4115711.88,$4115711.88,RI,31-Aug-24
$129216.13,$129216.13,KS,31-Aug-24
$24228106.35,$24228106.35,MT,31-Aug-24
$3459581.09,$3459581.09,SD,31-Aug-24
$4775866.50,$4775866.50,OK,31-Aug-24
$18252632.43,$18252632.43,MN,31-Aug-24
$11775905.46,$11775905.46,MN,31-Aug-24
$3396389.90,$3396389.90,ND,31-Aug-24
$266831.41,$266831.41,AK,31-Aug-24
$2043182.13,$2043182.13,NE,31-Aug-24
$237302220.57,$237302220.57,KY,31-Aug-24
$43156.75,$43156.75,SD,31-Aug-24
$34862258.81,$34862258.81,MO,31-Aug-24
$2022494.47,$2022494.47,MN,31-Aug-24
$921628.98,$921628.98,AK,31-Aug-24
$1605805.39,$1605805.39,AZ,31-Aug-24
$284385.05,$284385.05,AS,31-Aug-24
$672205.38,$672205.38,OK,31-Aug-24
$357921331.77,$357921331.77,PR,31-Aug-24
$23032726.37,$23032726.37,AK,31-Aug-24
$1146448060.73,$1146448060.73,FL,31-Aug-24
$4163201.58,$4163201.58,VA,31-Aug-24
$1376219.74,$1376219.74,FL,31-Aug-24
$7853511.55,$7853511.55,IL,31-Aug-24
$8839729.55,$8839729.55,SC,31-Aug-24
$2686052.48,$2686052.48,WV,31-Aug-24
$525645.66,$525645.66,WV,31-Aug-24
$48894845.64,$48894845.64,FL,31-Aug-24
$37889.49,$37889.49,AZ,31-Aug-24
$3832190.70,$3832190.70,WA,31-Aug-24
$164707443.65,$164707443.65,CA,31-Aug-24
$21940950.12,$21940950.12,AL,31-Aug-24
$16722883.91,$16722883.91,GA,31-Aug-24
$59295.04,$59295.04,ND,31-Aug-24
$734834.71,$734834.71,SD,31-Aug-24
$391656.50,$391656.50,SD,31-Aug-24
$378750.26,$378750.26,SD,31-Aug-24
$57219.51,$57219.51,OK,31-Aug-24
$5752679.76,$5752679.76,TN,31-Aug-24
$61891.91,$61891.91,CA,31-Aug-24
$2841215.31,$2841215.31,NH,31-Aug-24
$4226394.67,$4226394.67,NY,31-Aug-24
$422081.66,$422081.66,VT,31-Aug-24
$7984176.36,$7984176.36,ME,31-Aug-24
$98027185.44,$98027185.44,MS,31-Aug-24
$40225331.48,$40225331.48,AR,31-Aug-24
$85131004.39,$85131004.39,CA,31-Aug-24
$1370406.94,$1370406.94,AR,31-Aug-24
$11023648.80,$11023648.80,TN,31-Aug-24
$14381473.64,$14381473.64,KY,31-Aug-24
$24534.94,$24534.94,AZ,31-Aug-24
$10969300.62,$10969300.62,IN,31-Aug-24
$2910268.52,$2910268.52,TX,31-Aug-24
$6244192.50,$6244192.50,OK,31-Aug-24
$505286.82,$505286.82,CA,31-Aug-24
$1510699.07,$1510699.07,NV,31-Aug-24
$22895809.32,$22895809.32,FL,31-Aug-24
$1558600.78,$1558600.78,AL,31-Aug-24
$5614544.90,$5614544.90,KY,31-Aug-24
$6601060.79,$6601060.79,TN,31-Aug-24
$79117.40,$79117.40,CA,31-Aug-24
$59093.31,$59093.31,CA,31-Aug-24
$129479386.99,$129479386.99,GU,31-Aug-24
$975288.98,$975288.98,CNMI,31-Aug-24
$470180.70,$470180.70,ND,31-Aug-24
$2912222.17,$2912222.17,SD,31-Aug-24
$5209401.64,$5209401.64,ME,31-Aug-24
$100597743.90,$100597743.90,VT,31-Aug-24
$7735054.45,$7735054.45,OK,31-Aug-24
$10527392.43,$10527392.43,MN,31-Aug-24
$5744272.93,$5744272.93,NY,31-Aug-24
$358461810.92,$358461810.92,HI,31-Aug-24
$1781233.14,$1781233.14,NJ,31-Aug-24
$605729.21,$605729.21,MT,31-Aug-24
$7882394.38,$7882394.38,MS,31-Aug-24
$113053630.42,$113053630.42,IL,31-Aug-24
$1961804.45,$1961804.45,TN,31-Aug-24
